fullId,category
100f39dce7690f59efb94709f30ce0d2,"Chair,Recliner"
1022fe7dd03f6a4d4d5ad9f13ac9f4e7,"Chair,OfficeChair"
1028b32dc1873c2afe26a3ac360dbd4,"Chair,OfficeSideChair"
102a6b7809f4e51813842bc8ef6fe18,"Computer,Desktop"
1033ee86cc8bac4390962e4fb7072b86,Chair
104221f8a5b6676aa1dda33d5a7c8c38,"Table,AccentTable,RoundTable"
10507ae95f984daccd8f3fe9ca2145e1,Couch
107637b6bdf8129d4904d89e9169817b,Couch
1077080c3c8c6c71bf4af39142c10db1,Desk
10d174a00639990492d9da2668ec34c,"Chair,OfficeChair"
10de9af4e91682851e5f7bff98fb8d02,"Chair,Recliner"
1101146651cd32a1bd09c0f277d16187,"Bed,LoftBed"
111720e8cd4c613492d9da2668ec34c,"Chair,OfficeSideChair"
111cb08c8121b8411749672386e0b711,Chair
1129a07c75f5a709cf004563556ddb36,"Lamp,FloorLamp"
11358c94662a68117e66b3e5c11f24d4,"Chair,OfficeChair"
11525a18678f7ce6ae1e1181f20bb9c8,"Chair,OfficeChair"
1165e8de3cee9f706314698551cd43b,"Lamp,TableLamp"
119ddb219f69b1cc492d9da2668ec34c,"Chair,OfficeChair"
11b54e1530c17829ec4bb690ca24962,OutdoorTable
11b722334fe272e2b7802e8eb74a6704,"Bed,QueenBed"
11d5e99e8faa10ff3564590844406360,Couch
11f1511799d033ff7962150cab9888d6,Chair
11fa9b044482814ef91663a74ccd2338,"Chair,OfficeChair"
12193ca7bef40d40a84aed1cd93567b2,"Table,AccentTable"
1223b9275d2a2edacd4833986a6efe96,Table
127aff49c9378499ae685ca100c909e8,"Lamp,TableLamp"
1285f0a36d2836ba9b426f5f965c4d47,"Lamp,TableLamp"
12a73cdd42517d8f65331068961955c9,"Bed,ChildBed"
12aa829de18f4e6ad5cb6d178687b980,"Lamp,TableLamp"
12c0b15c8ed8a3edb039d8689a74349,"Lamp,TableLamp"
12d44fd814bc9b40ec2a7a1f5fe7365d,"Lamp,DeskLamp"
12df0535bb43633abdd9b7a602ec35ec,Table
12f4d8c20ef311d988dcbe86402c7c15,"Chair,Recliner"
130efc1031fe4450dc8c9a9abc47eed5,"Lamp,WallLamp"
133f2d360f9b8691f5ee22e800bb9145,Couch
1359d27a3d2dd1e6616b1821375380fe,Desk
135edda466e3b149df63d1c7e43c783f,"Table,RoundTable"
1361850926bce33f84e64ea9646404ec,"Lamp,FloorLamp"
1383d18af610241f69d8d5b35c38db0d,"Chair,SideChair"
13a4536a8c7dbc87e3f7a74e12a274ef,"Table,RoundTable"
13aa33650c706094732375ced502498,Chair
13b365ef4887f5d388a942de43574033,"Lamp,CeilingLamp"
13c18609602e4ced37b2bb75885cfc44,"Chair,ChairWithOttoman"
13c8bf6b41e555b78821ad3452f1c8c9,"Lamp,LampPost"
13dbeeacdabce3b694658a0201ba0367,"ChestOfDrawers,Armoire,Dresser,Wardrobe"
13f565d814bd5647adcda92177beb1f7,"ChestOfDrawers,Armoire,Wardrobe"
142f1bd1987ce39e35836c728d324152,Desk
1438cbb6c92e0b061c19e7863a1c200b,Desk
145b3e858ba17332bc4ac3caf16ef65,"Table,EndTable"
14624a2cc43aac50e3a031805ace4a99,"Table,DiningTable,RoundTable"
14656fe47266b0eb88e7662971dc736f,"Lamp,FloorLamp,DeskLamp"
1470c6423b877a0882fcee0c19bca00a,Couch
1482036d8ce3b51ffc0035da39bd5e1,"Table,RoundTable"
14977bca24205cc2a6fee8e2140acec9,"Chair,OfficeChair"
14a8f8abe72c6966fd2d8538d9735dd9,AccentTable
14c40e5ccc4fe01d492d9da2668ec34c,"Chair,OfficeSideChair"
14cbef4f4a67e57a4cf9c858305a22f8,Lamp
14d294a678561c367b72437fd995483b,Table
14e8504e664c872a831f2243b19a18a9,GameTable
14e924565ea58a7645c6cb69e0968783,Chair
14f4027490a165a6c017de3427505dac,"Chair,Couch"
151b2df36e08a13fafeeb1a322c90696,Couch
15290e3d21f429372af07afc7a68d50,Desk
152e101f3ab53701d810b14a81e12eca,"Table,EndTable,RoundTable"
1539b4cfe837d3e0f50772e7faf419f8,"Table,AccentTable"
155a08c8e150e7008c4f202fffc87396,"Table,CoffeeTable"
155dfcdcc387b025492d9da2668ec34c,"Chair,OfficeChair"
159050197b7058b936c8b9bf2576aca2,Desk
15945d9f48aa097935836c728d324152,"Lamp,TableLamp"
15a69a068a47e7ea2d7a27ffaafaaddb,Couch
15bae7fe612add11bf899e941ea0fe55,GameTable
15e38eb29fb84898e7e684d25d4dcaf0,"Lamp,TableLamp"
15eb3a0b0226597f678d1dca465a4efb,Chair
15ebb1e7e6663cbfa242b893d7c243a,"Table,AccentTable,RoundTable"
16001e59100b03c5fca0560918d50ea1,"Table,RoundTable"
161c91e07ad78de9e3f7a74e12a274ef,"Table,AccentTable"
161f92c3330d111ffc2dd24b885b9c05,Couch
162413f98e2184d35b801d9acf8d2f94,Desk
16327d928854b34ef11c3739edd52fa3,Lamp
16755fc794d5b2bb223a0abef958bcd0,Chair
16897b4f5720758492d9da2668ec34c,"Chair,OfficeSideChair"
1689f022a0b6bde55876947164cd256,"Chair,AccentChair"
16a91700de9c32a98c1a083ca347f005,Lamp
16b4dfae678239a42d470147ee1bb468,"Bed,LoftBed"
16c39375ac34adf37d47168999f25fa0,Chair
16e2dcf80c8442b7796eef4bbed8ce96,"Lamp,TableLamp"
16fd88a99f7d4c857e484225f3bb4a8,Couch
17007e06a65de93b4f65dd993ec5afec,"Chair,ChairWithOttoman"
176331ab6542bd406e3c8a33c4ddf2ef,"Table,AccentTable,RoundTable"
176e6b9b4340f25a7ff6ace05b36a5,Table
177ae9689e2920f764b7bfd6506cd3be,"Table,EndTable,RoundTable"
17870a3cccc0709ab610b0c94236463,Chair
17b083510f14982b7eaeab1f0c9120b7,"Lamp,DeskLamp"
17b77403b80de623f1783a44a88d6274,Chair
17c318cf53f978d22feb9fdea8e07927,"Lamp,TableLamp"
17f4b14ebbe37179ab2b7e9ed9191486,"Table,DiningTable"
18145f4b303c37f11c3739edd52fa3,"Lamp,TableLamp"
1845801e19ac5c22683869a26110a529,"Lamp,LampPost"
18476002083c51574904d89e9169817b,"Table,AccentTable,RoundTable"
18501a35a40939449359bfb5c0ce2bf3,Desk
1852cf691d561b97760c1770d1a1230,"Lamp,DeskLamp"
185bcb9bcec174c9492d9da2668ec34c,"Chair,OfficeChair"
185e37856f55b2c4e9aa07397ea1cf8d,"Lamp,FloorLamp"
18783fbef9ef95f2ae14646a8c8ddd34,Chair
188cb8d8f12fd60637372567066b91f4,"Table,DiningTable"
189064a8df83ddc77a89a0a7fbbe0a6f,"Bed,PosterBed"
18d91829adf1574ecf004563556ddb36,"Lamp,FloorLamp"
18e56f350d1cc7687b88e0ae521fe6b4,"Computer,Desktop"
18f4a9ed04407da57bd55ed4ce08f048,"Lamp,TableLamp"
18f89969ab232ba7b822d48a43773c62,Couch
18fa5887636980c0a156590b19c3013b,Lamp
190e9dba20c16d2fa7661e290484df84,"Table,CoffeeTable,RoundTable"
1914d0e6b9f0445b40e80a2d9f005aa7,Couch
19198a5f2d98f65ae3f7a74e12a274ef,"Lamp,TableLamp"
1934618ad848d53dba65f56f65080d3,"Lamp,CeilingLamp"
19353a61664435449b582c44569a1a8e,"Chair,SideChair"
19354bd08463173480f6183c41836dab,"Table,CoffeeTable"
198a3e82b102529c4904d89e9169817b,Chair
199273d17414e77ca553fc23769e6051,"Lamp,LampPost"
199da405357516a37540a07f0d62945,Couch
19db31a211acbe13de61296d69da75b6,"Bed,SingleBed"
1a2a5a06ce083786581bb5a25b17bed6,"Chair,SideChair"
1a477f7b2c1799e1b728e6e715c3f8cf,Couch
1a5e21a5633e1134ebd90840d80c9784,Lamp
1a8d161d93764a8996cba1a88ab59678,"Bed,KingBed"
1a8e293609eca3b3f7e27638e63d848,"Bed,QueenBed"
1a96d308eef57195efaa61516f88b67,"Table,DiningTable"
1aa55867200ea789465e08d496c0420f,Couch
1ac102f4a452771521e935c3c465f9f,"Lamp,LampPost"
1ad4c572e0fd6a576e1e9a13188ab4bb,"ChestOfDrawers,Armoire,Wardrobe"
1b05971a4373c7d2463600025db2266,Chair
1b29de0b8be4b18733d25da891be74b8,Couch
1b3d94b2b34474ff6a44fdd49dec8069,"Lamp,FloorLamp"
1b44b8c1d714e271aac156c397da9fd0,Table
1b4562d33da93f84cf004563556ddb36,"Lamp,TableLamp"
1b5ae67e2ffb387341fbc1e2da054acb,Couch
1b7bef12c554c1244c686b8271245d1b,"Chair,SideChair"
1b8132728b2b3d052ea98d69e91ba870,Table
1b9a0823d8e0ed84b664456ac8cd75a6,BarTable
1b9b6f1ddf363e0e8b424343280aeccb,"Lamp,TableLamp"
1bb2b8d52e3ade042b114cb28ee9f2b7,Chair
